,Name of the Blood Bank,ADDRESS,License No.,Public / Private
1. ÿ,Noor-ul-Ain Dyra Tal Khidmat Alinsaniyah,Rabwah Chinab Nagar District Chiniot,92,Private
2. ÿ,Madina Teaching Hospital Blood Bank,"Sargodha Road, Faisalabad",17,Private
3. ÿ,Blood Bank Independent University Hospital,"Narwala Road, Kithic Sadat Marzipura, Faisalabad",58,Private
4. ÿ,Aziz Fatimah Hospital,"Gulistan Colony Sheikhupura Road, Faisalabad",62,Private
5. ÿ,Hilal-e-Ahmar Thalassemia and Hemoplilia Blood Center,Faisalabad,66,Private
6. ÿ,Zahid Lab Chattha Hospital,27/1 Civil Lines Gujranwala,79,Private
7. ÿ,Blood Bank Al-Raee Hospital,Jinnah Road Gujranwala,80,Private
8. ÿ,Blood Bank Chughtais Lahore Lab,Chaudhary Hospital Satellite Town Gujranwala,115,Private
9. ÿ,Nabeel Blood Bank Niaz Memorial Hospital,"D.C.Road, Gujranwala",116,Private
10. ÿ,Fatmid Foundation,"Plot NO. 72-A, Block D-11 Johar Town Lahore",12,Private
11. ÿ,Shoukat Khanum Memorial Trust,7-A Block R-III M.A Johar Town Lahore,13,Private
12. ÿ,SUNDUS Foundation Blood Bank,"880-Shadman Colony Near Cresent Grils School, Lahore",14,Private
13. ÿ,Mid City Hospital Blood Bank,"3-A Shadman II, Jail Road Lahore",15,Private
14. ÿ,Farooq Hospital Blood Bank,2-3 Asif Block Allama Iqbal Town Lahore,18,Private
15. ÿ,Amina Bashir Memorial Trust Hospital,Aziz Road Misri Shah Lahore,19,Private
16. ÿ,Blood Bank Sharif Medical City Hospital,Jati Umra Lahore,21,Private
17. ÿ,Omer Hospital Laboratories,"5-Shadman-II Jail Road, Lahore",22,Private
18. ÿ,Shalimar Hospital Laboratories,Shalimar Link Road Mughal Pura Lahore,24,Private
19. ÿ,Blood Bank,Jallo More Lahore,25,Private
,Ghurki Trist Teaching Hospital,,,
20. ÿ,Chughtais Lahore Lab,10-Jail Road Lahore,26,Private
21. ÿ,Chughtais Lahore Lab,National Hospital & Medical Center DHA Lahore,34,Private
22. ÿ,Surgimid Hospital Laboratory Blood Bank,"1-Zafar Ali Road, Lahore",35,Private
23. ÿ,Lahore Blood Bank,"O.M.C Hospital Jail Road, Lahore",36,Private
24. ÿ,Al-Khidmat Blood BAnk,Surraya Azeem Teaching Hospital 40-Multan Road Lahore,37,Private
25. ÿ,Blood Transfusion Services,Ittefaq Hospital (Trust) Model Town Lahore,39,Private
26. ÿ,AMC Excel Lab Blood Bank,Akram Medical Complex 2-B Main Gulberg Aysha Siddique Road Lahore,40,Private
27. ÿ,Blood Bank Company,Arif Memorial Teaching Hospital Ferozpur Rad Lahore,41,Private
28. ÿ,Iqra Blood Bank,Iqra Medical Complex 5-A Johar Town Near Abar Chowk Lahore,42,Private
29. ÿ,Akhtar Saeed Trust Hospital Blood Bank,258-F DHA EME Sector Multan Road Lahore,43,Private
30. ÿ,Farooq Hospital Blood Bank,262-63 Westwood Colony Mian Canal Road Thoker Niaz Baig Lahore,45,Private
31. ÿ,Blood Bank Hameed Latif Hospital,14-Abu Bakar Block New Garden Town Lahore,47,Private
32. ÿ,Bahria Town Hospital,Takbeer Block Sector-B BAHRIA Town Lahore,48,Private
33. ÿ,FMH Clinical Lab Blood Bank Station,Fatima Memorial Hospital Shadman Lahore,51,Private
34. ÿ,Pathology Lab Wapda Teaching Hospital Complex,"210- Ferozpur Road, Lahore",52,Private
35. ÿ,Cavalary Hospital Blood Bank,44-45 Cavalry Ground Ext. Lahore Cantt,56,Private
36. ÿ,Doctors Hospital & Medical Centre,"151-G1 Canal Bank, Johar Town, Lahore",63,Private
37. ÿ,Adil Hosputal DHA Blood Bank,Genex Adil Hospital Main Boelevard DHA Lahore,67,Private
38. ÿ,University of Lahore Teaching Hospital Blood Bank,1Km Defence Road (off.Raiwind Road) Bhobatian Chowk Lahore,71,Private
39. ÿ,Blood Bank Muhammad Shahbaz Sharif Hospital,"Lidhar Bedian Road, Lahore",72,Private
40. ÿ,Excel Lab Blood Bank SMH Lahore,Saira Memorial Hospital 1-M Civic Center Model Town Extension Lahore,74,Private
41. ÿ,Masood Hospital Laboratory,99-Garden Block Garden Town Lahore,78,Private
42. ÿ,Blood Unit Punjab Social Security Health Management Company,8-km Raiwind Manga Road Lahore,93,Private
43. ÿ,Blood Bank Ch. Muhammad Akram Teaching & Research Hospital,18-Km Main Raiwind Road Superior University Compus Lahore,100,Private
44. ÿ,Bahria International Hospital Blood Bank,"Bahria Orchard Raiwind Road, Lahore",101,Private
45. ÿ,Blood Bank Hijazÿ Hospital,"27/D-1 Sir Syed Road, Gulberg-III Lahore",109,Private
46. ÿ,Blood Bank Family Hospital,"Family Hospital 4-Mozang Road, Lahore",122,Private
47. ÿ,Fatmid Foundation Multan Centre,"26-J.T-Chowk Shah Kukn-e-Alam Colony, Multan",59,Private
48. ÿ,Women Christian Hospital Multan Blood Bank,"85-Nusrat Road, Women Christian Hospital Mutan Cantt",108,Private
49. ÿ,Blood Bank Ibn-e-Siena Hospital & Research Institute,Department of Pathology Ibn-e-Siena Hospital Multan,117,Private
50. ÿ,Blood Bank Lauque Rafiq Hospital,19-Km Bahawalpur Road Yaqoob Nagar Lar Multan,121,Private
51. ÿ,Blood Bank Recep Jayyip Erdogan Hospital,"RTEH, 3-Km 70-N DG Khan Road, Muzaffargarh",102,Private
52. ÿ,Red Crescent Blood Bank & Thallassemia Center,"3-Km Depalpur Road, DHQ Hospital South City Okara",107,Private
53. ÿ,Samina Amanat Lab & Medical Center,"D-1022, Near Holy Family Hospital Chowk Saidpur Road Rawalpindi",50,Private
54. ÿ,Pakistan Thalassaemia Welfare Society (Regd),"Thalassaemia House, Opp Rawalpindi Medical College Tipu Road, Rawalpindi",81,Private
55. ÿ,Blood Bank Jamila Sultana Foundation,"House No. 22, Street No. 12, Chaklala Scheme-III Rawalpindi",83,Private
56. ÿ,Hilal-e-Ahmar Thalassemia and Hemoplilia Blood Center,"General Hospital Sillanwali Road, Sargodha",64,Private
57. ÿ,Blood Bank Memorial Christian Hospital,"3-Pairs Road, Sialkot",73,Private
58. ÿ,Dr. Naeem's Lab,"Commissioner Road, Sialkot",82,Private
59. ÿ,Blood Bank Kalsoom Society,"Airport Road, Johadpur Chowk Sialkot",113,Private
60. ÿ,Blood Bank Sundus Foundation,366-Aurangzaib Road Model Town Sialkot,114,Private
